àùTerritory,Year,Sex,Age,Quantity
IT,2023,Female,1,25901
IT,2019,Female,10,27002
IT,2020,Female,10,27964
IT,2021,Female,10,27769
IT,2022,Female,10,28204
IT,2023,Female,10,29684
IT,2019,Female,11,25380
IT,2020,Female,11,26600
IT,2021,Female,11,27507
IT,2022,Female,11,27616
IT,2023,Female,11,27974
IT,2019,Female,12,24233
IT,2020,Female,12,25103
IT,2021,Female,12,26483
IT,2022,Female,12,27270
IT,2023,Female,12,27422
IT,2019,Female,13,22534
IT,2020,Female,13,23982
IT,2021,Female,13,25100
IT,2022,Female,13,26381
IT,2023,Female,13,27031
IT,2019,Female,14,21917
IT,2020,Female,14,22497
IT,2021,Female,14,24175
IT,2022,Female,14,25042
IT,2023,Female,14,26362
IT,2019,Female,15,20125
IT,2020,Female,15,21964
IT,2021,Female,15,22777
IT,2022,Female,15,24166
IT,2023,Female,15,24965
IT,2019,Female,16,19720
IT,2020,Female,16,20285
IT,2021,Female,16,22240
IT,2022,Female,16,22789
IT,2023,Female,16,24374
IT,2019,Female,17,19942
IT,2020,Female,17,19844
IT,2021,Female,17,20383
IT,2022,Female,17,22391
IT,2023,Female,17,23207
IT,2019,Female,18,18974
IT,2020,Female,18,17951
IT,2021,Female,18,17676
IT,2022,Female,18,16801
IT,2023,Female,18,23236
IT,2019,Female,19,19108
IT,2020,Female,19,18943
IT,2021,Female,19,18597
IT,2022,Female,19,15982
IT,2023,Female,19,18341
IT,2019,Female,2,31358
IT,2020,Female,2,31538
IT,2021,Female,2,30840
IT,2022,Female,2,29640
IT,2023,Female,2,27638
IT,2019,Female,20,21569
IT,2020,Female,20,20623
IT,2021,Female,20,21766
IT,2022,Female,20,18156
IT,2023,Female,20,17902
IT,2019,Female,21,24039
IT,2020,Female,21,23031
IT,2021,Female,21,25210
IT,2022,Female,21,20887
IT,2023,Female,21,20403
IT,2019,Female,22,25947
IT,2020,Female,22,25456
IT,2021,Female,22,28074
IT,2022,Female,22,22435
IT,2023,Female,22,23473
IT,2019,Female,23,28483
IT,2020,Female,23,27583
IT,2021,Female,23,30232
IT,2022,Female,23,24778
IT,2023,Female,23,25379
IT,2019,Female,24,31462
IT,2020,Female,24,30322
IT,2021,Female,24,32058
IT,2022,Female,24,27722
IT,2023,Female,24,27831
IT,2019,Female,25,33926
IT,2020,Female,25,33392
IT,2021,Female,25,34494
IT,2022,Female,25,30119
IT,2023,Female,25,30743
IT,2019,Female,26,37894
IT,2020,Female,26,35798
IT,2021,Female,26,36909
IT,2022,Female,26,33123
IT,2023,Female,26,33131
IT,2019,Female,27,40040
IT,2020,Female,27,39825
IT,2021,Female,27,38767
IT,2022,Female,27,35793
IT,2023,Female,27,35640
IT,2019,Female,28,44871
IT,2020,Female,28,41711
IT,2021,Female,28,42052
IT,2022,Female,28,37902
IT,2023,Female,28,37958
IT,2019,Female,29,49471
IT,2020,Female,29,46237
IT,2021,Female,29,43617
IT,2022,Female,29,41179
IT,2023,Female,29,39781
IT,2019,Female,3,31485
IT,2020,Female,3,31225
IT,2021,Female,3,32540
IT,2022,Female,3,30582
IT,2023,Female,3,29219
IT,2019,Female,30,53783
IT,2020,Female,30,50649
IT,2021,Female,30,47227
IT,2022,Female,30,42717
IT,2023,Female,30,42614
IT,2019,Female,31,56510
IT,2020,Female,31,54623
IT,2021,Female,31,51226
IT,2022,Female,31,46247
IT,2023,Female,31,43856
IT,2019,Female,32,57240
IT,2020,Female,32,57041
IT,2021,Female,32,54802
IT,2022,Female,32,49984
IT,2023,Female,32,46989
IT,2019,Female,33,56820
IT,2020,Female,33,57396
IT,2021,Female,33,56726
IT,2022,Female,33,53465
IT,2023,Female,33,50274
IT,2019,Female,34,57534
IT,2020,Female,34,56819
IT,2021,Female,34,56877
IT,2022,Female,34,55263
IT,2023,Female,34,53429
IT,2019,Female,35,56846
IT,2020,Female,35,57244
IT,2021,Female,35,56131
IT,2022,Female,35,55372
IT,2023,Female,35,54943
IT,2019,Female,36,58463
IT,2020,Female,36,56501
IT,2021,Female,36,56705
IT,2022,Female,36,54570
IT,2023,Female,36,55033
IT,2019,Female,37,57836
IT,2020,Female,37,58057
IT,2021,Female,37,55857
IT,2022,Female,37,55133
IT,2023,Female,37,54004
IT,2019,Female,38,58767
IT,2020,Female,38,57204
IT,2021,Female,38,57478
IT,2022,Female,38,54097
IT,2023,Female,38,54583
IT,2019,Female,39,58324
IT,2020,Female,39,58084
IT,2021,Female,39,56587
IT,2022,Female,39,55495
IT,2023,Female,39,53562
IT,2019,Female,4,31816
IT,2020,Female,4,31289
IT,2021,Female,4,32649
IT,2022,Female,4,31994
IT,2023,Female,4,30308
IT,2019,Female,40,57101
IT,2020,Female,40,57609
IT,2021,Female,40,57338
IT,2022,Female,40,54586
IT,2023,Female,40,54782
IT,2019,Female,41,55590
IT,2020,Female,41,56315
IT,2021,Female,41,57080
IT,2022,Female,41,55379
IT,2023,Female,41,53866
IT,2019,Female,42,54876
IT,2020,Female,42,54918
IT,2021,Female,42,55908
IT,2022,Female,42,55128
IT,2023,Female,42,54606
IT,2019,Female,43,53358
IT,2020,Female,43,54121
IT,2021,Female,43,54753
IT,2022,Female,43,54008
IT,2023,Female,43,54328
IT,2019,Female,44,51927
IT,2020,Female,44,52749
IT,2021,Female,44,54000
IT,2022,Female,44,53000
IT,2023,Female,44,53161
IT,2019,Female,45,48755
IT,2020,Female,45,51279
IT,2021,Female,45,52778
IT,2022,Female,45,52000
IT,2023,Female,45,52023
IT,2019,Female,46,48660
IT,2020,Female,46,48230
IT,2021,Female,46,51382
IT,2022,Female,46,50926
IT,2023,Female,46,51065
IT,2019,Female,47,47256
IT,2020,Female,47,47960
IT,2021,Female,47,48525
IT,2022,Female,47,49427
IT,2023,Female,47,49879
IT,2019,Female,48,46868
IT,2020,Female,48,46680
IT,2021,Female,48,48352
IT,2022,Female,48,46776
IT,2023,Female,48,48352
IT,2019,Female,49,46515
IT,2020,Female,49,46443
IT,2021,Female,49,46924
IT,2022,Female,49,46563
IT,2023,Female,49,45856
IT,2019,Female,5,31346
IT,2020,Female,5,31567
IT,2021,Female,5,32782
IT,2022,Female,5,31446
IT,2023,Female,5,31556
IT,2019,Female,50,47371
IT,2020,Female,50,45951
IT,2021,Female,50,46643
IT,2022,Female,50,45107
IT,2023,Female,50,45586
IT,2019,Female,51,45276
IT,2020,Female,51,46863
IT,2021,Female,51,45994
IT,2022,Female,51,44956
IT,2023,Female,51,44075
IT,2019,Female,52,37219
IT,2020,Female,52,44708
IT,2021,Female,52,46618
IT,2022,Female,52,44250
IT,2023,Female,52,43900
IT,2019,Female,53,36103
IT,2020,Female,53,36862
IT,2021,Female,53,44396
IT,2022,Female,53,44860
IT,2023,Female,53,43196
IT,2019,Female,54,36135
IT,2020,Female,54,35730
IT,2021,Female,54,36892
IT,2022,Female,54,42635
IT,2023,Female,54,43678
IT,2019,Female,55,35275
IT,2020,Female,55,35921
IT,2021,Female,55,35699
IT,2022,Female,55,35352
IT,2023,Female,55,41484
IT,2019,Female,56,34233
IT,2020,Female,56,34946
IT,2021,Female,56,35703
IT,2022,Female,56,34145
IT,2023,Female,56,34359
IT,2019,Female,57,33125
IT,2020,Female,57,33983
IT,2021,Female,57,34825
IT,2022,Female,57,34177
IT,2023,Female,57,33045
IT,2019,Female,58,33037
IT,2020,Female,58,32855
IT,2021,Female,58,33659
IT,2022,Female,58,33136
IT,2023,Female,58,33052
IT,2019,Female,59,30481
IT,2020,Female,59,32731
IT,2021,Female,59,32325
IT,2022,Female,59,31893
IT,2023,Female,59,31942
IT,2019,Female,6,31319
IT,2020,Female,6,30883
IT,2021,Female,6,31339
IT,2022,Female,6,31273
IT,2023,Female,6,30949
IT,2019,Female,60,29079
IT,2020,Female,60,30158
IT,2021,Female,60,32012
IT,2022,Female,60,30364
IT,2023,Female,60,30571
IT,2019,Female,61,26519
IT,2020,Female,61,28875
IT,2021,Female,61,29279
IT,2022,Female,61,29903
IT,2023,Female,61,29000
IT,2019,Female,62,24315
IT,2020,Female,62,26212
IT,2021,Female,62,27596
IT,2022,Female,62,27017
IT,2023,Female,62,28630
IT,2019,Female,63,22204
IT,2020,Female,63,24078
IT,2021,Female,63,25017
IT,2022,Female,63,25361
IT,2023,Female,63,25807
IT,2019,Female,64,20001
IT,2020,Female,64,22075
IT,2021,Female,64,22894
IT,2022,Female,64,22938
IT,2023,Female,64,24119
IT,2019,Female,65,17552
IT,2020,Female,65,19854
IT,2021,Female,65,20822
IT,2022,Female,65,20763
IT,2023,Female,65,21801
IT,2019,Female,66,16106
IT,2020,Female,66,17421
IT,2021,Female,66,18597
IT,2022,Female,66,18804
IT,2023,Female,66,19708
IT,2019,Female,67,13859
IT,2020,Female,67,15819
IT,2021,Female,67,16057
IT,2022,Female,67,16424
IT,2023,Female,67,17726
IT,2019,Female,68,13224
IT,2020,Female,68,13660
IT,2021,Female,68,14462
IT,2022,Female,68,14172
IT,2023,Female,68,15561
IT,2019,Female,69,11536
IT,2020,Female,69,13013
IT,2021,Female,69,12409
IT,2022,Female,69,12808
IT,2023,Female,69,13338
IT,2019,Female,7,29686
IT,2020,Female,7,30808
IT,2021,Female,7,30620
IT,2022,Female,7,31347
IT,2023,Female,7,30819
IT,2019,Female,70,9893
IT,2020,Female,70,11333
IT,2021,Female,70,11885
IT,2022,Female,70,10921
IT,2023,Female,70,12100
IT,2019,Female,71,8168
IT,2020,Female,71,9751
IT,2021,Female,71,10221
IT,2022,Female,71,10425
IT,2023,Female,71,10355
IT,2019,Female,72,6857
IT,2020,Female,72,8108
IT,2021,Female,72,8704
IT,2022,Female,72,8891
IT,2023,Female,72,9848
IT,2019,Female,73,5547
IT,2020,Female,73,6769
IT,2021,Female,73,7311
IT,2022,Female,73,7613
IT,2023,Female,73,8419
IT,2019,Female,74,5119
IT,2020,Female,74,5467
IT,2021,Female,74,6072
IT,2022,Female,74,6385
IT,2023,Female,74,7164
IT,2019,Female,75,4666
IT,2020,Female,75,5038
IT,2021,Female,75,4864
IT,2022,Female,75,5249
IT,2023,Female,75,6044
IT,2019,Female,76,4703
IT,2020,Female,76,4616
IT,2021,Female,76,4482
IT,2022,Female,76,4208
IT,2023,Female,76,4932
IT,2019,Female,77,3700
IT,2020,Female,77,4582
IT,2021,Female,77,4080
IT,2022,Female,77,3898
IT,2023,Female,77,3994
IT,2019,Female,78,4077
IT,2020,Female,78,3606
IT,2021,Female,78,4070
IT,2022,Female,78,3576
IT,2023,Female,78,3627
IT,2019,Female,79,3162
IT,2020,Female,79,3991
IT,2021,Female,79,3164
IT,2022,Female,79,3527
IT,2023,Female,79,3320
IT,2019,Female,8,28877
IT,2020,Female,8,29118
IT,2021,Female,8,30166
IT,2022,Female,8,30269
IT,2023,Female,8,30924
IT,2019,Female,80,2905
IT,2020,Female,80,3096
IT,2021,Female,80,3483
IT,2022,Female,80,2714
IT,2023,Female,80,3283
IT,2019,Female,81,2517
IT,2020,Female,81,2853
IT,2021,Female,81,2651
IT,2022,Female,81,2946
IT,2023,Female,81,2533
IT,2019,Female,82,2138
IT,2020,Female,82,2431
IT,2021,Female,82,2493
IT,2022,Female,82,2257
IT,2023,Female,82,2711
IT,2019,Female,83,1746
IT,2020,Female,83,2069
IT,2021,Female,83,2066
IT,2022,Female,83,2065
IT,2023,Female,83,2086
IT,2019,Female,84,1483
IT,2020,Female,84,1663
IT,2021,Female,84,1760
IT,2022,Female,84,1702
IT,2023,Female,84,1923
IT,2019,Female,85,1184
IT,2020,Female,85,1428
IT,2021,Female,85,1409
IT,2022,Female,85,1442
IT,2023,Female,85,1584
IT,2019,Female,86,1105
IT,2020,Female,86,1165
IT,2021,Female,86,1168
IT,2022,Female,86,1125
IT,2023,Female,86,1324
IT,2019,Female,87,772
IT,2020,Female,87,1045
IT,2021,Female,87,929
IT,2022,Female,87,957
IT,2023,Female,87,1030
IT,2019,Female,88,898
IT,2020,Female,88,697
IT,2021,Female,88,842
IT,2022,Female,88,750
IT,2023,Female,88,870
IT,2019,Female,89,565
IT,2020,Female,89,808
IT,2021,Female,89,536
IT,2022,Female,89,682
IT,2023,Female,89,687
IT,2019,Female,9,28578
IT,2020,Female,9,28468
IT,2021,Female,9,28394
IT,2022,Female,9,30067
IT,2023,Female,9,29819
IT,2019,Female,90,490
IT,2020,Female,90,536
IT,2021,Female,90,624
IT,2022,Female,90,420
IT,2023,Female,90,622
IT,2019,Female,91,410
IT,2020,Female,91,440
IT,2021,Female,91,382
IT,2022,Female,91,477
IT,2023,Female,91,369
IT,2019,Female,92,313
IT,2020,Female,92,375
IT,2021,Female,92,325
IT,2022,Female,92,318
IT,2023,Female,92,409
IT,2019,Female,93,283
IT,2020,Female,93,280
IT,2021,Female,93,278
IT,2022,Female,93,234
IT,2023,Female,93,280
IT,2019,Female,94,190
IT,2020,Female,94,237
IT,2021,Female,94,190
IT,2022,Female,94,217
IT,2023,Female,94,208
IT,2019,Female,95,178
IT,2020,Female,95,162
IT,2021,Female,95,159
IT,2022,Female,95,146
IT,2023,Female,95,166
IT,2019,Female,96,123
IT,2020,Female,96,152
IT,2021,Female,96,114
IT,2022,Female,96,114
IT,2023,Female,96,124
IT,2019,Female,97,79
IT,2020,Female,97,99
IT,2021,Female,97,92
IT,2022,Female,97,93
IT,2023,Female,97,90
IT,2019,Female,98,95
IT,2020,Female,98,63
IT,2021,Female,98,75
IT,2022,Female,98,100
IT,2023,Female,98,79
IT,2019,Female,99,42
IT,2020,Female,99,71
IT,2021,Female,99,51
IT,2022,Female,99,63
IT,2023,Female,99,79
