FREQ,Frequency,REF_AREA,Territory,SEX,Sex (DESC),AGE,Age (DESC),CITIZENSHIP,Citizenship (DESC),ECON_ACTIVITY_NACE_2007,Economic activity (NACE Rev. 2),POSIZ_PROF,Professional status,Time (TIME_PERIOD),Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,A,'Agriculture, forestry and fishing',9,Total,2018,712.095,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,A,'Agriculture, forestry and fishing',9,Total,2019,738.109,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,A,'Agriculture, forestry and fishing',9,Total,2020,743.812,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,A,'Agriculture, forestry and fishing',9,Total,2021,748.632,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,A,'Agriculture, forestry and fishing',9,Total,2022,720.115,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0020,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),9,Total,2018,4186.147,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0020,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),9,Total,2019,4212.53,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0020,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),9,Total,2020,4173.487,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0020,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),9,Total,2021,4152.905,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0020,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),9,Total,2022,4202.633,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,F,Construction,9,Total,2018,1153.204,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,F,Construction,9,Total,2019,1097.084,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,F,Construction,9,Total,2020,1111.791,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,F,Construction,9,Total,2021,1208.888,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,F,Construction,9,Total,2022,1308.116,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0026,'Trade, hotels and restaurants (g and i)',9,Total,2018,4203.215,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0026,'Trade, hotels and restaurants (g and i)',9,Total,2019,4216.815,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0026,'Trade, hotels and restaurants (g and i)',9,Total,2020,3959.668,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0026,'Trade, hotels and restaurants (g and i)',9,Total,2021,3898.038,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0026,'Trade, hotels and restaurants (g and i)',9,Total,2022,4062.642,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0025,Other services activity (j to u),9,Total,2018,10366.671,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0025,Other services activity (j to u),9,Total,2019,10465.162,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0025,Other services activity (j to u),9,Total,2020,10192.355,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0025,Other services activity (j to u),9,Total,2021,10288.4,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,ITL,Italian,0025,Other services activity (j to u),9,Total,2022,10431.411,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,A,'Agriculture, forestry and fishing',9,Total,2018,147.69,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,A,'Agriculture, forestry and fishing',9,Total,2019,157.453,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,A,'Agriculture, forestry and fishing',9,Total,2020,161.05,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,A,'Agriculture, forestry and fishing',9,Total,2021,164.842,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,A,'Agriculture, forestry and fishing',9,Total,2022,154.819,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0020,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),9,Total,2018,417.277,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0020,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),9,Total,2019,445.234,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0020,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),9,Total,2020,423.525,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0020,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),9,Total,2021,424.543,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0020,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),9,Total,2022,453.654,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,F,Construction,9,Total,2018,227.601,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,F,Construction,9,Total,2019,222.343,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,F,Construction,9,Total,2020,216.182,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,F,Construction,9,Total,2021,221.916,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,F,Construction,9,Total,2022,242.572,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0026,'Trade, hotels and restaurants (g and i)',9,Total,2018,487.755,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0026,'Trade, hotels and restaurants (g and i)',9,Total,2019,493.337,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0026,'Trade, hotels and restaurants (g and i)',9,Total,2020,414.731,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0026,'Trade, hotels and restaurants (g and i)',9,Total,2021,411.397,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0026,'Trade, hotels and restaurants (g and i)',9,Total,2022,479.41,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0025,Other services activity (j to u),9,Total,2018,1057.076,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0025,Other services activity (j to u),9,Total,2019,1061.337,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0025,Other services activity (j to u),9,Total,2020,988.656,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0025,Other services activity (j to u),9,Total,2021,1034.396,,
A,Annual,IT,Italy,9,Total,Y15-89,15-89 years,FRG,Foreign,0025,Other services activity (j to u),9,Total,2022,1044.016,,
