,Territory,Citizenship,Year,UNEMP_ED_1,UNEMP_ED_3,total_x,UNEMP_ED_2,ACT_ED_1,ACT_ED_3,total_y,ACT_ED_2
0,Centro (I),foreign,2018,15.155626666666668,10.804080666666666,14.453227333333333,14.836709999999998,70.98561766666667,77.12419,73.572533,75.70860233333333
1,Centro (I),foreign,2019,13.568436666666665,11.434287,14.846058333333334,17.514611,70.61560533333333,75.93707966666666,73.53952466666667,76.77695833333333
2,Centro (I),foreign,2020,13.153745666666666,8.624534666666667,12.778524666666668,13.542031666666666,66.39947000000001,68.671068,68.004095,70.11022733333334
3,Centro (I),foreign,2021,13.241852666666666,18.102599666666666,15.194500333333332,16.586291333333335,66.44278833333334,71.376057,69.614376,73.098578
4,Centro (I),foreign,2022,12.723967333333334,12.505328999999998,12.980379999999998,13.377199666666668,68.15029766666667,74.44401466666666,70.78958933333332,72.92544633333334
5,Centro (I),italian,2018,11.356605333333334,4.986897666666667,8.676383,9.377720333333334,52.889158333333334,83.54688800000001,67.79427266666666,71.41853266666666
6,Centro (I),italian,2019,9.827092333333333,5.102060666666667,7.718597,8.193193666666668,52.150329666666664,83.86903733333334,67.64294566666666,71.00120633333334
7,Centro (I),italian,2020,10.372889,5.024784333333333,7.629936333333333,7.821124,49.991570333333335,82.418189,66.14007733333334,69.85272266666666
8,Centro (I),italian,2021,11.100708666666668,4.150023999999999,7.694963,8.114135,50.522212,83.89939499999998,66.84804766666666,70.39984266666666
9,Centro (I),italian,2022,8.462975,3.369946666666667,6.059123333333333,6.500167333333334,51.609045,83.92315933333333,67.99549,71.82883533333334
10,Mezzogiorno,foreign,2018,15.570274333333332,17.189989999999998,16.046919666666668,16.964262666666666,66.097724,71.54466500000001,66.715357,67.18787200000001
11,Mezzogiorno,foreign,2019,16.924578999999998,16.836757666666667,17.526526,19.247072666666668,66.05539533333334,65.841146,65.24718566666667,63.178155333333336
12,Mezzogiorno,foreign,2020,19.020708666666668,17.95048733333333,18.871393333333334,18.68959,61.716367,55.00540566666666,59.997374666666666,57.00363733333333
13,Mezzogiorno,foreign,2021,20.928653666666666,19.874336,20.808092666666667,20.727722,63.32046966666667,58.843585999999995,61.88884866666666,59.350414
14,Mezzogiorno,foreign,2022,19.00020566666667,17.563798,18.971048,19.229423333333333,63.44234733333334,60.23582133333334,62.571852,61.26420233333334
15,Mezzogiorno,italian,2018,24.215727666666666,11.038761333333333,18.566454333333336,17.254203666666665,41.577883,74.639067,53.233826,59.85770233333333
16,Mezzogiorno,italian,2019,23.17033033333333,10.296681,17.661178666666668,16.685488333333335,40.64278933333333,75.09764666666666,53.163170666666666,60.145473
17,Mezzogiorno,italian,2020,21.780618333333333,9.218435999999999,16.074188333333332,14.9017,38.80917866666667,74.37193733333334,51.099076333333336,57.09239766666667
18,Mezzogiorno,italian,2021,21.733578333333337,8.411085,16.175574,15.629899,39.703685666666665,75.41276366666666,52.383435666666664,58.786052000000005
19,Mezzogiorno,italian,2022,19.364638,6.812686666666667,14.076778,13.592163999999999,40.33104133333333,75.94216300000001,53.174318,59.487310666666666
20,Nord,foreign,2018,14.491530666666668,9.137413333333333,13.131091333333332,12.781868666666666,68.28975866666667,76.686424,72.931198,78.39547666666667
21,Nord,foreign,2019,13.519575000000001,10.391808,12.223271333333335,11.192228333333333,68.25751766666667,76.713407,72.89959033333334,78.43068433333333
22,Nord,foreign,2020,12.179854666666666,10.897148999999999,12.009306666666667,12.133323666666668,62.08090633333333,71.332343,67.63969300000001,74.937094
23,Nord,foreign,2021,12.367512333333332,11.026851666666667,12.264354333333335,12.495782666666665,64.76965966666667,74.72164566666667,70.15918566666666,76.26109266666667
24,Nord,foreign,2022,10.421101666666667,8.387245333333333,9.768999333333333,9.457003666666667,65.698128,76.511609,71.20747466666667,76.86481666666667
25,Nord,italian,2018,7.663050000000001,3.335926333333333,5.599697333333334,5.546832666666667,55.320979666666666,86.14179633333333,70.32975066666667,75.86370266666667
26,Nord,italian,2019,7.548570000000001,3.097107,5.170382666666667,4.881866333333334,55.70874833333334,85.91028033333333,70.67699433333333,76.024817
27,Nord,italian,2020,6.954853666666668,3.2240073333333332,5.135752666666666,5.120105666666666,53.970334,84.27163466666667,68.90694366666666,73.92169466666667
28,Nord,italian,2021,7.227654,2.9750110000000003,5.0872003333333335,4.995005,54.16331766666667,85.55360566666667,69.21362766666667,74.06197166666666
29,Nord,italian,2022,6.388568333333333,2.391241,4.355184666666666,4.254452333333333,54.84958866666667,86.30740766666666,70.25373766666667,75.35558166666667
30,Nord-est,foreign,2018,15.381984000000001,9.819867333333333,13.479951999999999,12.619294333333334,67.47383433333333,76.487557,73.37692833333334,79.70873366666666
31,Nord-est,foreign,2019,14.406747000000001,10.068177,12.455571666666666,11.210479,67.704574,76.943319,73.71938033333333,79.93875133333334
32,Nord-est,foreign,2020,12.020517666666668,11.987181333333334,11.897270333333333,11.754628333333335,62.68816133333333,75.43706633333333,70.30411733333334,77.87507633333333
33,Nord-est,foreign,2021,11.021123666666668,9.334387666666666,10.495161,10.315789666666667,63.913195333333334,77.03671733333333,71.090152,77.88256766666666
34,Nord-est,foreign,2022,10.030182333333334,6.208407666666666,8.828886333333333,8.471354333333332,65.19774266666667,78.27626066666666,71.938108,77.516503
35,Nord-est,italian,2018,6.678413333333334,3.1399679999999996,4.941271333333333,4.849491,55.55684566666667,85.72421800000001,70.800658,76.65679033333333
36,Nord-est,italian,2019,6.202183000000001,3.2483606666666667,4.454878666666667,4.127024,55.29582133333333,85.43621333333333,71.25262099999999,77.44756733333334
37,Nord-est,italian,2020,6.316249,3.2606836666666665,4.876394666666666,4.927195666666667,54.44561266666667,83.74043266666666,69.57389933333333,74.92259866666667
38,Nord-est,italian,2021,6.39721,2.7773066666666666,4.5295543333333335,4.436289666666666,54.174218,85.298496,69.50569066666667,74.41002366666667
39,Nord-est,italian,2022,5.598281,2.2091576666666666,3.8375009999999996,3.730644,55.00348400000001,86.23249,70.747591,76.07489166666666
40,Nord-ovest,foreign,2018,13.942549999999999,8.657254333333332,12.883017666666667,12.920238,68.80266133333333,76.82749033333334,72.61767233333333,77.31331733333333
41,Nord-ovest,foreign,2019,12.974600333333333,10.642936,12.051909,11.175750666666667,68.60170933333333,76.536952,72.306542,77.10920733333333
42,Nord-ovest,foreign,2020,12.277352666666667,9.928719666666666,12.096274666666668,12.508221999999998,61.71620633333333,68.043631,65.71101433333334,72.23965666666668
43,Nord-ovest,foreign,2021,13.224712666666667,12.471010666666666,13.596371333333332,14.408136999999998,65.327416,72.853186,69.47462033333333,74.89358566666667
44,Nord-ovest,foreign,2022,10.672936333333334,10.163093,10.498555,10.377461,66.026004,75.13189633333333,70.65119133333333,76.266436
45,Nord-ovest,italian,2018,8.359876,3.4741703333333334,6.087053,6.088358666666667,55.15669966666667,86.43932033333333,69.98546566666666,75.26049666666667
46,Nord-ovest,italian,2019,8.479392666666667,2.9877563333333335,5.700288333333333,5.468788333333333,55.99860833333333,86.25669266666667,70.25683033333334,74.95501133333333
47,Nord-ovest,italian,2020,7.408153666666666,3.1971976666666664,5.328483333333334,5.268204333333333,53.64003833333333,84.66457100000001,68.41970966666666,73.17179800000001
48,Nord-ovest,italian,2021,7.805801333333334,3.1203913333333335,5.497646666666667,5.419123,54.156985,85.74234866666666,69.00033933333333,73.80046933333334
49,Nord-ovest,italian,2022,6.945923666666666,2.522901,4.736643333333333,4.653365333333333,54.74192133333333,86.36194033333334,69.894383,74.81709033333334
